product_id,product_name_en,product_title_ar,category_ar,variant_id,variant_name_ar,role,required,file_path,alt_ar
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","main","yes","web/public/assets/store/betafpv-cetus-pro/rtf/01-main.webp","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","front","no","web/public/assets/store/betafpv-cetus-pro/rtf/02-front.webp","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة، من الأمام"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","side","no","web/public/assets/store/betafpv-cetus-pro/rtf/03-side.webp","طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة، من الجانب"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","box","no","web/public/assets/store/betafpv-cetus-pro/rtf/04-box.webp","محتويات صندوق طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:rtf","الطقم الكامل — طائرة وجهاز تحكّم ونظّارة","accessories","no","web/public/assets/store/betafpv-cetus-pro/rtf/05-accessories.webp","ملحقات طقم تدريب كامل للمبتدئ — الطقم الكامل — طائرة وجهاز تحكّم ونظّارة"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","main","yes","web/public/assets/store/betafpv-cetus-pro/bnf/01-main.webp","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","front","no","web/public/assets/store/betafpv-cetus-pro/bnf/02-front.webp","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة، من الأمام"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","side","no","web/public/assets/store/betafpv-cetus-pro/bnf/03-side.webp","طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة، من الجانب"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","box","no","web/public/assets/store/betafpv-cetus-pro/bnf/04-box.webp","محتويات صندوق طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة"
"betafpv-cetus-pro","BetaFPV Cetus Pro Kit","طقم تدريب كامل للمبتدئ","تايني ووب","betafpv-cetus-pro:bnf","الطائرة وحدها — لمن يملك جهازاً ونظّارة","accessories","no","web/public/assets/store/betafpv-cetus-pro/bnf/05-accessories.webp","ملحقات طقم تدريب كامل للمبتدئ — الطائرة وحدها — لمن يملك جهازاً ونظّارة"
